Heading,Body,Category,URL,VideoText,Cat,Sentiment
OTT Spot: சாய் பல்லவியின் மிரட்டலான த்ரில்லர்… நொடிக்கு நொடி சஸ்பென்ஸ்.. ‘புஷ்பா 2’ வை மிஞ்சும் க்ளைமாக்ஸ்!,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,photogallery,https://tamil.news18.com/photogallery/entertainment/cinema-dont-miss-this-sai-pallavis-suspence-thriller-movie-at-any-cost-kls-1794321.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
"TN 10th, 12th Result 2025 : 10,12-ம் வகுப்பு பொதுத் தேர்வு முடிவுகள் எப்போது வெளியாகும்? - ரிசல்ட் பார்ப்பது எப்படி?",cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,photogallery,https://tamil.news18.com/photogallery/education/tn-board-results-2025-when-is-12th-public-exam-result-hsc-board-exam-results-date-lks-ws-dl-1794314.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
சதம் அடித்தாலும் வைபவ் சூர்யவன்ஷியால் இந்தியாவுக்காக விளையாட முடியாது - ஏன்.. தடை என்ன?,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,photogallery,https://tamil.news18.com/photogallery/sports/ipl-why-14-year-old-vaibhav-suryavanshi-cannot-play-for-indian-team-for-now-see-the-reason-mma-ws-bl-1794344.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
நடிகர் அஜித் டிஸ்சார்ஜ்… மருத்துவ பரிசோதனை இதற்காக தான்.. வெளியான தகவல்!,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,entertainment,https://tamil.news18.com/entertainment/cinema-ajith-kumar-hospitalized-for-treatment-injury-nw-kls-ws-l-1794290.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
பஹல்காம் தாக்குதலுக்கு பதிலடி கொடுக்க முப்படைகளுக்கு முழு சுதந்திரம் அளித்த பிரதமர் மோடி - வெளியான முக்கிய தகவல்,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,national,https://tamil.news18.com/national/pm-narendra-modi-grants-permission-to-forces-to-attack-back-over-pahalgam-issue-nw-rkr-ws-bl-1793552.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
”கனவு வாழ்க்கையை வாழ்ந்து கொண்டு இருக்கிறேன்...” - நடிகர் அஜித்குமார் பேட்டி,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,entertainment,https://tamil.news18.com/entertainment/cinema-i-am-living-a-dream-life-says-actor-ajithkumar-after-receiving-padma-bhushan-award-nw-rkr-ws-bl-1793556.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
IPL 2025 | இ சாலா கப்பை நெருங்குகிறதா ஆர்சிபி...?,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,videos,https://tamil.news18.com/videos/ipl/is-rcb-getting-closer-to-the-e-chala-cup-1792513.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
மக்களை தேடி மருத்துவத்தால் என்ன பயன்...? முழு விவரம் இதோ,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,videos,https://tamil.news18.com/videos/tamil-nadu/what-is-the-use-of-medicine-in-searching-for-people-1792510.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
ONGC-க்கு மத்திய அரசு அனுமதி... தமிழ்நாட்டுக்கு என்னென்ன பாதிப்புகள்?,cnn name logo associate element cable news network lp lllp time warner company right reserve cnn cnn logo register mark cable news network lp lllp display permission use cnn name andor logo part newscom not derogate intellectual property right cable news network respect copyright network medium investment ltd right reserve,videos,https://tamil.news18.com/videos/tamil-nadu/what-are-the-impacts-of-ongc-on-tamilnadu-1792504.html,,Judiciary,"[0.03125579282641411, 0.23132897913455963, 0.7374152541160583]"
"Delhi Police lady constable Murder case: कांस्टेबल मोना की हत्या के बाद उसके पर‍िजनों को कैसे बरगलाता रहा कात‍िल, सामने आई ऑड‍ियो कॉल्स",delhi police lady constable murder case,,https://www.aajtak.in/india/delhi/video/delhi-police-head-constable-surendra-rana-kept-tricking-constable-mona-family-after-her-murder-audio-calls-revealed-1774425-2023-10-02,"Surendra Rana murder horoscopeRobin has run away with her. His name was Arvind.hello hello hello brotherBrother, I am Arvind in Gurgaon.tell me the hand and the mind got marriedAnd I am going to Punjab right nowI will come to you near Rohtak in 10-15 days, okayyes brotherWhere is he? I currently live here brother.You trust me for 10-15 days.I had to talk about that, not now.She's not in the mood, she's very dry, okay?10:15 Brother, trust me, I will definitely come home but it's okay.i youHow did you know him? I was his friend and we both got married.ok and now my family is after meThat's why I am going to Punjab, it's okay for nowHanuman is with you in 10-15 days. Don't take tension, you trust me, it's okay.Let's keep this number on, I'll talk if I have to.Brother, I don't have a phone, I have taken this number from someone else.ok i will contact you myselfI have your numbers ok okCompleteI kept misleading you for 2 years and kept listening to the voice of Ajit.The planning itself was how to source such evidence which would show that Mona is alive and finally she was killed.What was the reason for getting caught?Phulpur: Delhi Police case professional killer had planned in 2021Who murdered his colleague female police constable butIf you have seen Drishyam movie then it is exactly on the same lines.He did complete planning and today whatever story line the Crime Branch official tells when youHe spoke in one line, he is alive even after death.And she was talking to her family on the phone, on the second line she told this",Crime,"[0.09622388333082199, 0.014396481215953827, 0.8893796801567078]"
"Firing In AMU: AMU में रातोरात धड़ाधड़ फायरिंग, आपस में भिड़े छात्रों के दो गुट",late night two group student clash aligarh muslim university also fire three people injure firing injure admit medical college police investigate matter watch video,,https://www.aajtak.in/uttar-pradesh/video/uttar-pradesh-news-firing-in-aligarh-muslim-universtiy-at-midnight-3-student-injured-1791270-2023-10-03,News from Aligarh where Aligarh Muslim UniversityThe police have been admitted to the medical college.There are two good nights in Aligarh campus and surprisingly there is firing there too.Who reached the campus with weapons and how did this question mark reach there?Having weapons inside the campus is also playing with the lives of other students and the police is now investigating this matter.Milk mixed together late at night is a case of Aligarh Muslim University.,Crime,"[0.0659257099032402, 0.041999541223049164, 0.8920747637748718]"
Khalistan Supporter Sukha Duneke Gunned Down In Canada; Wanted In Punjab For Serious Crimes,sukhdool singh gill also know sukha duneke alleged associate bambiha gang meet tragic end winnipeg canada unidentified assailant shoot sukha duneke want punjab charge include extortion attempt murder murder sukha duneke flee canada reportedly run extortion racket notably name recently appear list release national investigation agency nia alleged involvement terrorrelated activity bambiha gang sukha duneke link longstanding rivalry lawrence bishnoi goldy brar gang sukha duneke also accuse murder kabaddi player sandeep naggal ambian kill kabaddi match punjabs mallian village march investigation reveal duneke allegedly provide hideout killer,,https://indianexpress.com/videos/news-video/khalistan-supporter-sukha-duneke-gunned-down-in-canada-wanted-in-punjab-for-serious-crimes/,Growing tensions between India and Canada over the killing of Khalistan separated Sandeep in Canada in June.extortionRunning and extortion racket is also namedBeing involved in terror related activities in BombayDuring a Kabaddi match in MarchIt was a legend tha he had provided the hide out to the colors at a relative's home in Amritsar Suggested tha in 2017 had applied forNegligent in their duty and did not report all the cases registered againSeven criminal cases tha time the police allegedly mentioned on 5 cases and skipped the two in which he was declared a proclaimed offenderS managed to get an IndianReporting the criminal history of Gill in the police verification report for issue of the passport the letterCriminal case needs to be registered against skill and the police officials,Crime,"[0.03549063205718994, 0.36690548062324524, 0.5976039171218872]"
Why AIMIM MPs Asaduddin Owaisi and Imtiaz Jaleel Voted Against Women's Reservation Bill?,woman reservation bill aimim chief asaduddin owaisi say muslim obc woman get reservation say lok sabha muslim woman mp say muslim obc woman get reservation,,https://indianexpress.com/videos/explained-video/why-aimim-mps-asaduddin-owaisi-and-imtiaz-jaleel-voted-against-womens-reservation-bill/,"690 women women MP 7 elected till the 17 Lok Sabha and out of this 690 on 25 have come at the Muslim community in 576291 99 There Have Been No Muslim Women Go ElectedAnother back in Lok Sabha nowAnd we had also introduced an amendment for Muslim women.If Nishad is a Muslim woman, then there should be a reference to her. What is the purpose of bringing the bill that they should be elected in the Lok Sabha and in the State Assemblies?690 women MPs have been elected so far, out of which 25 are Muslims.And there were four such Lok Sabhas where no Muslim woman MP was alerted, out of 57, out of 62, out of 91, out of 92, so we are saying that nowMuslim women OBC women should get more Muslim women members",Politics,"[0.032249804586172104, 0.2560773193836212, 0.7116729021072388]"
World Cup 2023: Gautam Gambhir praises Yuvraj Singh,team india consider big contender win world cup reason recent form team india statistic special player five indian player fear team around world perform per potential one stop team india win world cup today cricket show gautam gambhir praise yuvraj lot,,https://zeenews.india.com/video/news/world-cup-2023-gautam-gambhir-praises-yuvraj-singh-2670569.html,"has appliedIrshad Irshad Team India's World Cup preparations could not be completedTeam India's World Cup preparations could not be completed in full, now Guwahati first.Match abandoned due to rain in Thiruvananthapurambrother this is nothingWe are playing every day, whoever plays with the rain, we have got the money, Asia Cup is done.Is the World Cup going to be held here?How much rain is going to come in front of India because this rain has created a problem.Team before World Cup after Asia Cup and Australia tourHaven't been able to get a chance to practice on the one hand and in a big team continuouslyAnd here in the practice of the Indian team, it has rained heavily.Man wants to start India's abbey because of rainThe second practice match with Netherlands has been canceledThe practice which was also held in Guwahati against England just before the World Cup before the tractor game.Will play World Cup whether it is Pakistan or AustraliaEveryone is playing their practice matches comfortably and now Team India is going straight to Chennai.She will play the first match of the World Cup against Australia in Chennai on 8th October.Indians knewWhere is this rain happening in India?I feel like doing something, do one thing, you will have to play this match, our practice mantraBut here is the problem that Team India faced, the biggest problem of Team India.The World Cup will start in two-three days and the first match after that isWill play on 8th October. Will play on Sunday in Chennai. If that is a big match then it will be played in Chennai.Chennai's Ravichandran Ashwin will play his first World Cup matchSpin bowlers can get advantage considering the pitch of Chennai.In such a situation, the question is being raised that Chennaibut first understand",Sports,"[0.2755928039550781, 0.11219511181116104, 0.612212061882019]"
India will teach a lesson to Justin Trudeau!,india ask canadian diplomat return october america also intervene say touch india speak indian government urge cooperate canadas investigation big action indian government canadas baseless allegation murder terrorist nijjar canadian diplomat ask return october,,https://zeenews.india.com/video/news/india-will-teach-a-lesson-to-justin-trudeau-2670533.html,"The enmity that Canadian Prime Minister Justin Trudeau has expressed towards IndiaIndia's anger has not subsided yet, now India has taken another diplomatic action against Justin Trudeau.Now more than 41 Canadian politicians have gone back to India. Canada was feeling that itsAfter softening, India's anger will subside but till then Judo has been given a signal in India.won't leave until thenCanadian Prime Minister Justin TrudeauThe mistake of supporting Pakistani terrorists is such a big mistake from India's point of view that India shouldCanada is in no mood to support IndiaAnother diplomatic strike has been done to force the calendar politician in India to return to his country.One two or 10 not book in india 41 of canadaThey have been asked to return to India and have a deadline of 10th October.Canada did not have 62 kingdoms and 66% of themMinistry of External Affairs has given orders to reduce excessive politics, meaning Canada in India after October 10IndiaThe number of Canadian politicians is more than the number of Indian politicians present in Canada and it is necessary to make it work.They have informed tha in Indian Government tha there should be provisionAnd in Ranking Equivalence and in Mutual Diplomatic PresenceTheir Numbers Are Much Very Much Higher Than Ours in CanadaThe details of this are being worked out but as there will be a reductionOn September 21, the Foreign Ministry told Canada that its country's politicalThey are in large numbers and do the same work but not in Canada. When not, then in India, extra politics is seen in the country.The Indian government has issued a notice to Canada on October 10.If they live in India, their diplomatic immunity should be abolished.This means that those 41 people who used to get political exemption will not get it after 10th.India'sbetween india and canada",International,"[0.03634856641292572, 0.354868620634079, 0.6087828874588013]"
